HR,Time Stamp,
76.18,1548340323,1/24/19 14:32
76.62,1548340323,1/24/19 14:32
77.08,1548340324,1/24/19 14:32
77.55,1548340325,1/24/19 14:32
78.03,1548340325,1/24/19 14:32
78.28,1548340326,1/24/19 14:32
78.52,1548340327,1/24/19 14:32
78.75,1548340327,1/24/19 14:32
78.95,1548340328,1/24/19 14:32
79.05,1548340329,1/24/19 14:32
79.18,1548340329,1/24/19 14:32
79.17,1548340330,1/24/19 14:32
79.18,1548340331,1/24/19 14:32
79.18,1548340332,1/24/19 14:32
79.17,1548340332,1/24/19 14:32
79.15,1548340333,1/24/19 14:32
79.12,1548340334,1/24/19 14:32
79.1,1548340335,1/24/19 14:32
79.08,1548340335,1/24/19 14:32
79.02,1548340336,1/24/19 14:32
78.93,1548340337,1/24/19 14:32
78.9,1548340338,1/24/19 14:32
78.83,1548340339,1/24/19 14:32
78.77,1548340339,1/24/19 14:32
78.72,1548340340,1/24/19 14:32
78.7,1548340340,1/24/19 14:32
78.82,1548340340,1/24/19 14:32
78.95,1548340341,1/24/19 14:32
79.13,1548340341,1/24/19 14:32
79.33,1548340342,1/24/19 14:32
79.73,1548340343,1/24/19 14:32
80.13,1548340344,1/24/19 14:32
80.47,1548340344,1/24/19 14:32
80.83,1548340345,1/24/19 14:32
81.22,1548340345,1/24/19 14:32
81.57,1548340346,1/24/19 14:32
81.9,1548340347,1/24/19 14:32
82.15,1548340348,1/24/19 14:32
82.2,1548340348,1/24/19 14:32
82.25,1548340349,1/24/19 14:32
82.35,1548340350,1/24/19 14:32
82.4,1548340350,1/24/19 14:32
82.45,1548340351,1/24/19 14:32
82.38,1548340352,1/24/19 14:32
82.32,1548340352,1/24/19 14:32
82.23,1548340352,1/24/19 14:32
82.15,1548340353,1/24/19 14:32
81.95,1548340354,1/24/19 14:32
81.92,1548340354,1/24/19 14:32
81.87,1548340355,1/24/19 14:32
81.83,1548340356,1/24/19 14:32
81.82,1548340356,1/24/19 14:32
81.87,1548340357,1/24/19 14:32
82.02,1548340358,1/24/19 14:32
82.22,1548340358,1/24/19 14:32
82.45,1548340359,1/24/19 14:32
82.6,1548340360,1/24/19 14:32
82.75,1548340360,1/24/19 14:32
82.92,1548340360,1/24/19 14:32
83.08,1548340361,1/24/19 14:32
83.15,1548340361,1/24/19 14:32
83.27,1548340362,1/24/19 14:32
83.35,1548340362,1/24/19 14:32
83.42,1548340363,1/24/19 14:32
83.52,1548340363,1/24/19 14:32
83.6,1548340364,1/24/19 14:32
83.67,1548340365,1/24/19 14:32
83.68,1548340366,1/24/19 14:32
83.68,1548340367,1/24/19 14:32
83.72,1548340368,1/24/19 14:32
83.72,1548340368,1/24/19 14:32
83.77,1548340368,1/24/19 14:32
83.8,1548340369,1/24/19 14:32
83.83,1548340369,1/24/19 14:32
83.88,1548340369,1/24/19 14:32
83.93,1548340370,1/24/19 14:32
83.98,1548340370,1/24/19 14:32
84,1548340371,1/24/19 14:32
83.98,1548340371,1/24/19 14:32
84.02,1548340372,1/24/19 14:32
84.07,1548340373,1/24/19 14:32
84.12,1548340373,1/24/19 14:32
84.18,1548340374,1/24/19 14:32
84.25,1548340374,1/24/19 14:32
84.3,1548340375,1/24/19 14:32
84.3,1548340376,1/24/19 14:32
84.28,1548340376,1/24/19 14:32
84.27,1548340377,1/24/19 14:32
84.23,1548340378,1/24/19 14:32
84.22,1548340378,1/24/19 14:32
84.2,1548340378,1/24/19 14:32
84.2,1548340379,1/24/19 14:32
84.2,1548340380,1/24/19 14:33
84.22,1548340381,1/24/19 14:33
84.23,1548340381,1/24/19 14:33
84.28,1548340382,1/24/19 14:33
84.32,1548340382,1/24/19 14:33
84.42,1548340383,1/24/19 14:33
84.53,1548340383,1/24/19 14:33
84.67,1548340384,1/24/19 14:33
84.85,1548340384,1/24/19 14:33
85.05,1548340385,1/24/19 14:33
85.3,1548340385,1/24/19 14:33
85.63,1548340386,1/24/19 14:33
85.97,1548340386,1/24/19 14:33
86.32,1548340387,1/24/19 14:33
86.68,1548340387,1/24/19 14:33
86.97,1548340387,1/24/19 14:33
87.12,1548340388,1/24/19 14:33
87.23,1548340388,1/24/19 14:33
87.32,1548340389,1/24/19 14:33
87.33,1548340390,1/24/19 14:33
87.33,1548340390,1/24/19 14:33
87.32,1548340391,1/24/19 14:33
87.27,1548340392,1/24/19 14:33
87.23,1548340392,1/24/19 14:33
87.07,1548340393,1/24/19 14:33
86.93,1548340393,1/24/19 14:33
86.82,1548340394,1/24/19 14:33
86.73,1548340394,1/24/19 14:33
86.67,1548340395,1/24/19 14:33
86.55,1548340396,1/24/19 14:33
86.47,1548340397,1/24/19 14:33
86.37,1548340397,1/24/19 14:33
86.25,1548340398,1/24/19 14:33
86.13,1548340398,1/24/19 14:33
86.02,1548340399,1/24/19 14:33
85.9,1548340399,1/24/19 14:33
85.8,1548340400,1/24/19 14:33
85.7,1548340401,1/24/19 14:33
85.58,1548340401,1/24/19 14:33
85.43,1548340402,1/24/19 14:33
85.27,1548340402,1/24/19 14:33
85.12,1548340403,1/24/19 14:33
84.98,1548340404,1/24/19 14:33
84.88,1548340404,1/24/19 14:33
84.82,1548340405,1/24/19 14:33
84.77,1548340406,1/24/19 14:33
84.72,1548340406,1/24/19 14:33
84.67,1548340407,1/24/19 14:33
84.62,1548340408,1/24/19 14:33
84.57,1548340409,1/24/19 14:33
84.52,1548340409,1/24/19 14:33
84.47,1548340409,1/24/19 14:33
84.43,1548340410,1/24/19 14:33
84.4,1548340410,1/24/19 14:33
84.4,1548340411,1/24/19 14:33
84.38,1548340411,1/24/19 14:33
84.35,1548340412,1/24/19 14:33
84.32,1548340412,1/24/19 14:33
84.27,1548340413,1/24/19 14:33
84.22,1548340414,1/24/19 14:33
84.23,1548340415,1/24/19 14:33
84.27,1548340415,1/24/19 14:33
84.32,1548340416,1/24/19 14:33
84.35,1548340417,1/24/19 14:33
84.4,1548340417,1/24/19 14:33
84.42,1548340418,1/24/19 14:33
84.45,1548340419,1/24/19 14:33
84.45,1548340420,1/24/19 14:33
84.38,1548340420,1/24/19 14:33
84.33,1548340421,1/24/19 14:33
84.3,1548340422,1/24/19 14:33
84.27,1548340423,1/24/19 14:33
84.23,1548340423,1/24/19 14:33
84.2,1548340424,1/24/19 14:33
84.18,1548340424,1/24/19 14:33
84.22,1548340425,1/24/19 14:33
84.25,1548340425,1/24/19 14:33
84.32,1548340426,1/24/19 14:33
84.38,1548340426,1/24/19 14:33
84.47,1548340426,1/24/19 14:33
84.55,1548340427,1/24/19 14:33
84.65,1548340428,1/24/19 14:33
84.77,1548340428,1/24/19 14:33
84.87,1548340428,1/24/19 14:33
85.1,1548340429,1/24/19 14:33
85.3,1548340429,1/24/19 14:33
85.47,1548340429,1/24/19 14:33
85.6,1548340430,1/24/19 14:33
85.72,1548340430,1/24/19 14:33
85.83,1548340431,1/24/19 14:33
85.95,1548340431,1/24/19 14:33
86.08,1548340432,1/24/19 14:33
86.22,1548340433,1/24/19 14:33
86.35,1548340434,1/24/19 14:33
86.43,1548340435,1/24/19 14:33
86.52,1548340435,1/24/19 14:33
86.6,1548340436,1/24/19 14:33
86.73,1548340436,1/24/19 14:33
86.82,1548340437,1/24/19 14:33
86.87,1548340438,1/24/19 14:33
86.88,1548340438,1/24/19 14:33
86.9,1548340439,1/24/19 14:33
86.9,1548340439,1/24/19 14:33
86.75,1548340440,1/24/19 14:34
86.57,1548340440,1/24/19 14:34
86.38,1548340440,1/24/19 14:34
86.22,1548340441,1/24/19 14:34
86.05,1548340442,1/24/19 14:34
85.95,1548340442,1/24/19 14:34
85.85,1548340442,1/24/19 14:34
85.68,1548340443,1/24/19 14:34
85.55,1548340443,1/24/19 14:34
85.62,1548340443,1/24/19 14:34
85.67,1548340444,1/24/19 14:34
85.68,1548340444,1/24/19 14:34
85.72,1548340445,1/24/19 14:34
85.73,1548340445,1/24/19 14:34
85.73,1548340445,1/24/19 14:34
85.75,1548340446,1/24/19 14:34
85.72,1548340446,1/24/19 14:34
85.7,1548340447,1/24/19 14:34
85.65,1548340447,1/24/19 14:34
85.58,1548340448,1/24/19 14:34
85.53,1548340448,1/24/19 14:34
85.47,1548340449,1/24/19 14:34
85.45,1548340449,1/24/19 14:34
85.45,1548340450,1/24/19 14:34
85.45,1548340450,1/24/19 14:34
85.5,1548340451,1/24/19 14:34
85.55,1548340451,1/24/19 14:34
85.57,1548340452,1/24/19 14:34
85.58,1548340452,1/24/19 14:34
85.6,1548340453,1/24/19 14:34
85.6,1548340454,1/24/19 14:34
85.58,1548340455,1/24/19 14:34
85.58,1548340455,1/24/19 14:34
85.53,1548340456,1/24/19 14:34
85.47,1548340456,1/24/19 14:34
85.4,1548340456,1/24/19 14:34
85.35,1548340457,1/24/19 14:34
85.28,1548340458,1/24/19 14:34
85.2,1548340458,1/24/19 14:34
85.12,1548340459,1/24/19 14:34
85.03,1548340460,1/24/19 14:34
84.95,1548340460,1/24/19 14:34
84.88,1548340461,1/24/19 14:34
84.8,1548340461,1/24/19 14:34
84.75,1548340461,1/24/19 14:34
84.7,1548340462,1/24/19 14:34
84.65,1548340462,1/24/19 14:34
84.62,1548340462,1/24/19 14:34
84.57,1548340462,1/24/19 14:34
84.52,1548340463,1/24/19 14:34
84.47,1548340463,1/24/19 14:34
84.45,1548340464,1/24/19 14:34
84.43,1548340464,1/24/19 14:34
84.38,1548340465,1/24/19 14:34
84.33,1548340465,1/24/19 14:34
84.35,1548340465,1/24/19 14:34
84.37,1548340466,1/24/19 14:34
84.43,1548340467,1/24/19 14:34
84.45,1548340467,1/24/19 14:34
84.47,1548340467,1/24/19 14:34
84.63,1548340468,1/24/19 14:34
84.75,1548340469,1/24/19 14:34
84.88,1548340469,1/24/19 14:34
85.02,1548340470,1/24/19 14:34
85.2,1548340471,1/24/19 14:34
85.32,1548340472,1/24/19 14:34
85.37,1548340472,1/24/19 14:34
85.42,1548340473,1/24/19 14:34
85.5,1548340473,1/24/19 14:34
85.4,1548340473,1/24/19 14:34
85.18,1548340474,1/24/19 14:34
84.98,1548340474,1/24/19 14:34
84.8,1548340475,1/24/19 14:34
84.6,1548340475,1/24/19 14:34
84.38,1548340476,1/24/19 14:34
84.17,1548340477,1/24/19 14:34
83.97,1548340479,1/24/19 14:34
83.73,1548340480,1/24/19 14:34
83.73,1548340480,1/24/19 14:34
83.72,1548340481,1/24/19 14:34
83.7,1548340482,1/24/19 14:34
83.7,1548340483,1/24/19 14:34
83.67,1548340484,1/24/19 14:34
83.6,1548340484,1/24/19 14:34
83.53,1548340485,1/24/19 14:34
83.43,1548340486,1/24/19 14:34
83.35,1548340486,1/24/19 14:34
83.25,1548340487,1/24/19 14:34
83.17,1548340488,1/24/19 14:34
83.1,1548340488,1/24/19 14:34
83.17,1548340489,1/24/19 14:34
83.3,1548340490,1/24/19 14:34
83.43,1548340490,1/24/19 14:34
83.62,1548340491,1/24/19 14:34
83.82,1548340492,1/24/19 14:34
84.03,1548340493,1/24/19 14:34
84.25,1548340494,1/24/19 14:34
84.42,1548340494,1/24/19 14:34
84.53,1548340495,1/24/19 14:34
84.62,1548340496,1/24/19 14:34
84.7,1548340497,1/24/19 14:34
84.77,1548340498,1/24/19 14:34
84.82,1548340498,1/24/19 14:34
84.88,1548340499,1/24/19 14:34
84.87,1548340500,1/24/19 14:35
84.87,1548340500,1/24/19 14:35
84.9,1548340501,1/24/19 14:35
84.9,1548340501,1/24/19 14:35
84.9,1548340502,1/24/19 14:35
84.88,1548340503,1/24/19 14:35
84.88,1548340504,1/24/19 14:35
84.85,1548340504,1/24/19 14:35
84.78,1548340505,1/24/19 14:35
84.8,1548340505,1/24/19 14:35
84.75,1548340506,1/24/19 14:35
84.72,1548340507,1/24/19 14:35
84.72,1548340507,1/24/19 14:35
84.73,1548340508,1/24/19 14:35
84.73,1548340508,1/24/19 14:35
84.78,1548340509,1/24/19 14:35
84.82,1548340510,1/24/19 14:35
84.9,1548340510,1/24/19 14:35
84.93,1548340511,1/24/19 14:35
84.98,1548340511,1/24/19 14:35
84.98,1548340512,1/24/19 14:35
84.98,1548340513,1/24/19 14:35
85.05,1548340513,1/24/19 14:35
85.2,1548340514,1/24/19 14:35
85.28,1548340515,1/24/19 14:35
85.32,1548340516,1/24/19 14:35
85.43,1548340516,1/24/19 14:35
85.52,1548340517,1/24/19 14:35
85.57,1548340518,1/24/19 14:35
85.67,1548340519,1/24/19 14:35
85.77,1548340519,1/24/19 14:35
85.82,1548340520,1/24/19 14:35
85.88,1548340521,1/24/19 14:35
85.95,1548340522,1/24/19 14:35
85.85,1548340522,1/24/19 14:35
85.8,1548340523,1/24/19 14:35
85.73,1548340524,1/24/19 14:35
85.67,1548340525,1/24/19 14:35
85.6,1548340525,1/24/19 14:35
85.58,1548340526,1/24/19 14:35
85.68,1548340527,1/24/19 14:35
85.77,1548340528,1/24/19 14:35
85.83,1548340528,1/24/19 14:35
85.9,1548340529,1/24/19 14:35
85.95,1548340530,1/24/19 14:35
85.98,1548340530,1/24/19 14:35
85.9,1548340531,1/24/19 14:35
85.77,1548340532,1/24/19 14:35
85.67,1548340532,1/24/19 14:35
85.53,1548340533,1/24/19 14:35
85.37,1548340533,1/24/19 14:35
85.2,1548340534,1/24/19 14:35
85.02,1548340534,1/24/19 14:35
84.85,1548340535,1/24/19 14:35
84.72,1548340535,1/24/19 14:35
84.6,1548340536,1/24/19 14:35
84.48,1548340536,1/24/19 14:35
84.38,1548340536,1/24/19 14:35
84.27,1548340537,1/24/19 14:35
84.15,1548340537,1/24/19 14:35
84.03,1548340537,1/24/19 14:35
83.9,1548340538,1/24/19 14:35
83.73,1548340539,1/24/19 14:35
83.55,1548340540,1/24/19 14:35
83.37,1548340540,1/24/19 14:35
83.18,1548340541,1/24/19 14:35
82.98,1548340541,1/24/19 14:35
82.83,1548340542,1/24/19 14:35
82.72,1548340542,1/24/19 14:35
82.55,1548340543,1/24/19 14:35
82.4,1548340543,1/24/19 14:35
82.17,1548340544,1/24/19 14:35
81.93,1548340545,1/24/19 14:35
81.62,1548340545,1/24/19 14:35
81.37,1548340546,1/24/19 14:35
81.08,1548340546,1/24/19 14:35
80.77,1548340547,1/24/19 14:35
80.37,1548340547,1/24/19 14:35
79.95,1548340547,1/24/19 14:35
79.65,1548340548,1/24/19 14:35
79.35,1548340548,1/24/19 14:35
79.03,1548340549,1/24/19 14:35
78.95,1548340549,1/24/19 14:35
78.87,1548340550,1/24/19 14:35
78.77,1548340551,1/24/19 14:35
78.7,1548340551,1/24/19 14:35
78.68,1548340552,1/24/19 14:35
78.67,1548340553,1/24/19 14:35
78.58,1548340553,1/24/19 14:35
78.57,1548340554,1/24/19 14:35
78.55,1548340555,1/24/19 14:35
78.57,1548340556,1/24/19 14:35
78.57,1548340556,1/24/19 14:35
78.57,1548340557,1/24/19 14:35
78.48,1548340557,1/24/19 14:35
78.42,1548340558,1/24/19 14:35
78.35,1548340558,1/24/19 14:35
78.28,1548340559,1/24/19 14:35
78.22,1548340560,1/24/19 14:36
78.15,1548340560,1/24/19 14:36
78.02,1548340561,1/24/19 14:36
77.92,1548340562,1/24/19 14:36
77.83,1548340563,1/24/19 14:36
77.78,1548340563,1/24/19 14:36
77.73,1548340564,1/24/19 14:36
77.6,1548340564,1/24/19 14:36
77.47,1548340565,1/24/19 14:36
77.33,1548340565,1/24/19 14:36
77.15,1548340566,1/24/19 14:36
76.98,1548340566,1/24/19 14:36
76.88,1548340567,1/24/19 14:36
76.78,1548340567,1/24/19 14:36
76.7,1548340567,1/24/19 14:36
76.62,1548340568,1/24/19 14:36
76.55,1548340568,1/24/19 14:36
76.52,1548340568,1/24/19 14:36
76.48,1548340569,1/24/19 14:36
76.47,1548340569,1/24/19 14:36
76.48,1548340570,1/24/19 14:36
76.52,1548340571,1/24/19 14:36
76.6,1548340571,1/24/19 14:36
76.7,1548340572,1/24/19 14:36
76.82,1548340573,1/24/19 14:36
76.98,1548340573,1/24/19 14:36
77.15,1548340574,1/24/19 14:36
77.33,1548340574,1/24/19 14:36
77.52,1548340575,1/24/19 14:36
77.68,1548340576,1/24/19 14:36
77.85,1548340576,1/24/19 14:36
78,1548340577,1/24/19 14:36
78.13,1548340577,1/24/19 14:36
78.33,1548340578,1/24/19 14:36
78.53,1548340578,1/24/19 14:36
78.78,1548340579,1/24/19 14:36
79.05,1548340580,1/24/19 14:36
79.32,1548340581,1/24/19 14:36
79.6,1548340581,1/24/19 14:36
79.95,1548340582,1/24/19 14:36
80.33,1548340582,1/24/19 14:36
80.58,1548340583,1/24/19 14:36
80.8,1548340584,1/24/19 14:36
81.03,1548340585,1/24/19 14:36
81.02,1548340585,1/24/19 14:36
81,1548340586,1/24/19 14:36
81,1548340586,1/24/19 14:36
81,1548340586,1/24/19 14:36
80.97,1548340587,1/24/19 14:36
80.9,1548340588,1/24/19 14:36
80.93,1548340589,1/24/19 14:36
80.92,1548340590,1/24/19 14:36
80.9,1548340591,1/24/19 14:36
80.88,1548340591,1/24/19 14:36
80.97,1548340592,1/24/19 14:36
81.03,1548340593,1/24/19 14:36
81.13,1548340593,1/24/19 14:36
81.2,1548340594,1/24/19 14:36
81.28,1548340594,1/24/19 14:36
81.32,1548340595,1/24/19 14:36
81.37,1548340595,1/24/19 14:36
81.43,1548340596,1/24/19 14:36
81.52,1548340597,1/24/19 14:36
81.58,1548340598,1/24/19 14:36
81.65,1548340599,1/24/19 14:36
81.68,1548340599,1/24/19 14:36
81.72,1548340600,1/24/19 14:36
81.73,1548340601,1/24/19 14:36
81.78,1548340601,1/24/19 14:36
81.83,1548340601,1/24/19 14:36
81.9,1548340602,1/24/19 14:36
81.95,1548340603,1/24/19 14:36
81.93,1548340603,1/24/19 14:36
81.88,1548340604,1/24/19 14:36
81.82,1548340605,1/24/19 14:36
81.75,1548340606,1/24/19 14:36
81.7,1548340606,1/24/19 14:36
81.63,1548340607,1/24/19 14:36
81.57,1548340608,1/24/19 14:36
81.48,1548340608,1/24/19 14:36
81.4,1548340609,1/24/19 14:36
81.33,1548340609,1/24/19 14:36
81.27,1548340611,1/24/19 14:36
81.18,1548340611,1/24/19 14:36
81.12,1548340612,1/24/19 14:36
80.98,1548340613,1/24/19 14:36
80.87,1548340614,1/24/19 14:36
80.75,1548340614,1/24/19 14:36
80.58,1548340615,1/24/19 14:36
80.43,1548340617,1/24/19 14:36
80.3,1548340617,1/24/19 14:36
80.15,1548340618,1/24/19 14:36
80.02,1548340619,1/24/19 14:36
79.88,1548340619,1/24/19 14:36
79.7,1548340619,1/24/19 14:36
79.5,1548340620,1/24/19 14:37
79.27,1548340621,1/24/19 14:37
79.03,1548340622,1/24/19 14:37
78.8,1548340622,1/24/19 14:37
78.58,1548340623,1/24/19 14:37
78.4,1548340624,1/24/19 14:37
78.18,1548340624,1/24/19 14:37
78,1548340625,1/24/19 14:37
77.7,1548340626,1/24/19 14:37
77.43,1548340627,1/24/19 14:37
77.23,1548340627,1/24/19 14:37
77.02,1548340628,1/24/19 14:37
76.82,1548340629,1/24/19 14:37
76.62,1548340630,1/24/19 14:37
76.45,1548340631,1/24/19 14:37
76.35,1548340632,1/24/19 14:37
76.25,1548340633,1/24/19 14:37
76.18,1548340633,1/24/19 14:37
76.03,1548340634,1/24/19 14:37
75.83,1548340635,1/24/19 14:37
75.7,1548340635,1/24/19 14:37
75.57,1548340635,1/24/19 14:37
75.47,1548340636,1/24/19 14:37
75.35,1548340637,1/24/19 14:37
75.25,1548340638,1/24/19 14:37
75.05,1548340639,1/24/19 14:37
74.72,1548340639,1/24/19 14:37
74.32,1548340639,1/24/19 14:37
74.02,1548340640,1/24/19 14:37
73.78,1548340641,1/24/19 14:37
73.6,1548340642,1/24/19 14:37
73.4,1548340643,1/24/19 14:37
73.32,1548340643,1/24/19 14:37
73.18,1548340643,1/24/19 14:37
73.05,1548340644,1/24/19 14:37
73,1548340645,1/24/19 14:37
72.92,1548340645,1/24/19 14:37
72.85,1548340645,1/24/19 14:37
72.8,1548340647,1/24/19 14:37
72.77,1548340647,1/24/19 14:37
72.77,1548340649,1/24/19 14:37
72.77,1548340650,1/24/19 14:37
72.85,1548340650,1/24/19 14:37
72.93,1548340651,1/24/19 14:37
